TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDoS12B14,,,BmsDoHmiStatBits[12].14,BMSDOHMISTATBITS[12].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B15,,,BmsDoHmiStatBits[12].15,BMSDOHMISTATBITS[12].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13,,,BmsDoHmiStatBits[13],BMSDOHMISTATBITS[13],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B00,,,BmsDoHmiStatBits[13].0,BMSDOHMISTATBITS[13].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B01,,,BmsDoHmiStatBits[13].1,BMSDOHMISTATBITS[13].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B02,,,BmsDoHmiStatBits[13].2,BMSDOHMISTATBITS[13].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B03,,,BmsDoHmiStatBits[13].3,BMSDOHMISTATBITS[13].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B04,,,BmsDoHmiStatBits[13].4,BMSDOHMISTATBITS[13].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B05,,,BmsDoHmiStatBits[13].5,BMSDOHMISTATBITS[13].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B06,,,BmsDoHmiStatBits[13].6,BMSDOHMISTATBITS[13].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B07,,,BmsDoHmiStatBits[13].7,BMSDOHMISTATBITS[13].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B08,,,BmsDoHmiStatBits[13].8,BMSDOHMISTATBITS[13].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B09,,,BmsDoHmiStatBits[13].9,BMSDOHMISTATBITS[13].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B10,,,BmsDoHmiStatBits[13].10,BMSDOHMISTATBITS[13].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B11,,,BmsDoHmiStatBits[13].11,BMSDOHMISTATBITS[13].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B12,,,BmsDoHmiStatBits[13].12,BMSDOHMISTATBITS[13].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B13,,,BmsDoHmiStatBits[13].13,BMSDOHMISTATBITS[13].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B14,,,BmsDoHmiStatBits[13].14,BMSDOHMISTATBITS[13].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS13B15,,,BmsDoHmiStatBits[13].15,BMSDOHMISTATBITS[13].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14,,,BmsDoHmiStatBits[14],BMSDOHMISTATBITS[14],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B00,,,BmsDoHmiStatBits[14].0,BMSDOHMISTATBITS[14].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B01,,,BmsDoHmiStatBits[14].1,BMSDOHMISTATBITS[14].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B02,,,BmsDoHmiStatBits[14].2,BMSDOHMISTATBITS[14].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B03,,,BmsDoHmiStatBits[14].3,BMSDOHMISTATBITS[14].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B04,,,BmsDoHmiStatBits[14].4,BMSDOHMISTATBITS[14].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B05,,,BmsDoHmiStatBits[14].5,BMSDOHMISTATBITS[14].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B06,,,BmsDoHmiStatBits[14].6,BMSDOHMISTATBITS[14].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B07,,,BmsDoHmiStatBits[14].7,BMSDOHMISTATBITS[14].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B08,,,BmsDoHmiStatBits[14].8,BMSDOHMISTATBITS[14].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B09,,,BmsDoHmiStatBits[14].9,BMSDOHMISTATBITS[14].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B10,,,BmsDoHmiStatBits[14].10,BMSDOHMISTATBITS[14].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B11,,,BmsDoHmiStatBits[14].11,BMSDOHMISTATBITS[14].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B12,,,BmsDoHmiStatBits[14].12,BMSDOHMISTATBITS[14].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B13,,,BmsDoHmiStatBits[14].13,BMSDOHMISTATBITS[14].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B14,,,BmsDoHmiStatBits[14].14,BMSDOHMISTATBITS[14].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS14B15,,,BmsDoHmiStatBits[14].15,BMSDOHMISTATBITS[14].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS15,,,BmsDoHmiStatBits[15],BMSDOHMISTATBITS[15],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS15B00,,,BmsDoHmiStatBits[15].0,BMSDOHMISTATBITS[15].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS15B01,,,BmsDoHmiStatBits[15].1,BMSDOHMISTATBITS[15].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
